Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,43.099998,43.099998,41.400002,41.799999,41.799999,5690
2019-10-01,41.000000,43.599998,40.700001,43.599998,43.599998,20640
2019-10-02,44.700001,47.099998,44.700001,46.700001,46.700001,53870
2019-10-03,46.299999,47.700001,44.900002,44.900002,44.900002,21900
2019-10-04,44.299999,44.299999,42.500000,42.500000,42.500000,16130
2019-10-07,42.900002,43.500000,41.900002,42.700001,42.700001,17100
2019-10-08,44.500000,46.200001,44.099998,46.200001,46.200001,21820
2019-10-09,44.700001,45.500000,43.799999,44.700001,44.700001,13840
2019-10-10,44.799999,44.799999,43.000000,43.200001,43.200001,13610
2019-10-11,42.000000,42.000000,40.000000,40.599998,40.599998,38910
2019-10-15,39.500000,39.500000,37.700001,38.200001,38.200001,39980
2019-10-16,38.799999,38.799999,37.799999,37.900002,37.900002,15800
2019-10-17,37.700001,37.799999,37.099998,37.599998,37.599998,16890
2019-10-18,37.700001,38.200001,37.200001,37.400002,37.400002,26100
2019-10-21,37.000000,37.099998,36.500000,36.500000,36.500000,15150
2019-10-22,36.500000,37.099998,36.099998,37.099998,37.099998,13350
2019-10-23,37.700001,37.700001,36.500000,36.700001,36.700001,12930
2019-10-24,36.200001,36.900002,36.000000,36.099998,36.099998,12860
2019-10-25,36.000000,36.200001,35.000000,35.000000,35.000000,23440
2019-10-28,34.500000,35.299999,34.500000,35.299999,35.299999,9410
2019-10-29,35.500000,35.599998,35.000000,35.299999,35.299999,9160
2019-10-30,35.400002,36.000000,34.200001,34.599998,34.599998,14830
2019-10-31,34.799999,35.599998,34.599998,35.000000,35.000000,19100
2019-11-01,34.000000,34.000000,33.299999,33.400002,33.400002,19670
2019-11-04,32.500000,33.599998,32.500000,33.400002,33.400002,9630
2019-11-05,33.700001,34.099998,33.500000,34.099998,34.099998,5610
2019-11-06,34.200001,34.500000,33.900002,34.000000,34.000000,7430
2019-11-07,33.700001,33.799999,33.200001,33.700001,33.700001,12770
2019-11-08,33.400002,33.799999,32.900002,32.900002,32.900002,7520
2019-11-11,33.400002,33.700001,32.500000,32.799999,32.799999,11580
2019-11-12,33.000000,33.000000,32.099998,32.400002,32.400002,15080
2019-11-13,33.000000,33.000000,32.299999,32.599998,32.599998,5590
2019-11-14,32.900002,32.900002,32.200001,32.299999,32.299999,7750
2019-11-15,32.099998,32.099998,30.600000,30.600000,30.600000,25430
2019-11-18,30.700001,30.900000,30.400000,30.700001,30.700001,10350
2019-11-19,30.900000,31.100000,30.400000,31.000000,31.000000,4900
2019-11-20,31.200001,32.400002,30.799999,31.299999,31.299999,13730
2019-11-21,31.400000,31.900000,31.100000,31.500000,31.500000,8610
